Epoch:   1%|          | 1/100 [00:04<06:42,  4.06s/epoch]Epoch 000 | Learning rate 0.000100 | train normalized MSE 9821.2405 | val normalized MSE 4369.0214, | val unnormalized MAE 212.9531 | val unnormalized MSE 109225.5371
Epoch:   2%|▏         | 2/100 [00:07<06:03,  3.71s/epoch]Epoch 001 | Learning rate 0.000100 | train normalized MSE 3830.6212 | val normalized MSE 2866.9605, | val unnormalized MAE 173.0659 | val unnormalized MSE 71674.0132
Epoch:   3%|▎         | 3/100 [00:11<05:59,  3.71s/epoch]Epoch 002 | Learning rate 0.000100 | train normalized MSE 2884.0157 | val normalized MSE 2241.7189, | val unnormalized MAE 151.7988 | val unnormalized MSE 56042.9735
Epoch:   4%|▍         | 4/100 [00:15<06:02,  3.78s/epoch]Epoch 003 | Learning rate 0.000100 | train normalized MSE 2335.1798 | val normalized MSE 1946.8790, | val unnormalized MAE 142.7650 | val unnormalized MSE 48671.9757
Epoch:   5%|▌         | 5/100 [00:18<06:01,  3.81s/epoch]Epoch 004 | Learning rate 0.000100 | train normalized MSE 2031.3580 | val normalized MSE 1596.1946, | val unnormalized MAE 131.5973 | val unnormalized MSE 39904.8671
Epoch:   6%|▌         | 6/100 [00:22<05:40,  3.63s/epoch]Epoch 005 | Learning rate 0.000100 | train normalized MSE 1885.3958 | val normalized MSE 1586.2619, | val unnormalized MAE 128.3575 | val unnormalized MSE 39656.5485
Epoch:   7%|▋         | 7/100 [00:25<05:25,  3.50s/epoch]Epoch 006 | Learning rate 0.000100 | train normalized MSE 1759.0860 | val normalized MSE 1543.6969, | val unnormalized MAE 126.1446 | val unnormalized MSE 38592.4227
Epoch:   8%|▊         | 8/100 [00:29<05:48,  3.78s/epoch]Epoch 007 | Learning rate 0.000100 | train normalized MSE 1615.8041 | val normalized MSE 1416.6740, | val unnormalized MAE 119.9941 | val unnormalized MSE 35416.8495
Epoch:   9%|▉         | 9/100 [00:34<05:55,  3.90s/epoch]Epoch 008 | Learning rate 0.000100 | train normalized MSE 1505.9770 | val normalized MSE 1560.2247, | val unnormalized MAE 128.3962 | val unnormalized MSE 39005.6174
Epoch:  10%|█         | 10/100 [00:37<05:40,  3.79s/epoch]Epoch 009 | Learning rate 0.000100 | train normalized MSE 1478.5448 | val normalized MSE 1228.7259, | val unnormalized MAE 113.8293 | val unnormalized MSE 30718.1465
Epoch:  11%|█         | 11/100 [00:41<05:36,  3.78s/epoch]Epoch 010 | Learning rate 0.000100 | train normalized MSE 1383.0542 | val normalized MSE 1165.5139, | val unnormalized MAE 110.6634 | val unnormalized MSE 29137.8474
Epoch:  12%|█▏        | 12/100 [00:44<05:29,  3.74s/epoch]Epoch 011 | Learning rate 0.000100 | train normalized MSE 1335.9858 | val normalized MSE 1241.7687, | val unnormalized MAE 112.4205 | val unnormalized MSE 31044.2185
Epoch:  13%|█▎        | 13/100 [00:48<05:17,  3.65s/epoch]Epoch 012 | Learning rate 0.000100 | train normalized MSE 1240.3139 | val normalized MSE 1250.3917, | val unnormalized MAE 113.0331 | val unnormalized MSE 31259.7915
Epoch:  14%|█▍        | 14/100 [00:52<05:32,  3.87s/epoch]Epoch 013 | Learning rate 0.000100 | train normalized MSE 1225.1186 | val normalized MSE 1166.8733, | val unnormalized MAE 110.7026 | val unnormalized MSE 29171.8322
Epoch:  15%|█▌        | 15/100 [00:56<05:20,  3.77s/epoch]Epoch 014 | Learning rate 0.000100 | train normalized MSE 1118.7712 | val normalized MSE 1342.2579, | val unnormalized MAE 116.3032 | val unnormalized MSE 33556.4458
Epoch:  16%|█▌        | 16/100 [01:00<05:15,  3.75s/epoch]Epoch 015 | Learning rate 0.000100 | train normalized MSE 1123.3127 | val normalized MSE 1377.4770, | val unnormalized MAE 115.0774 | val unnormalized MSE 34436.9250
Epoch:  17%|█▋        | 17/100 [01:03<05:08,  3.71s/epoch]Epoch 016 | Learning rate 0.000100 | train normalized MSE 1136.3670 | val normalized MSE 1249.0335, | val unnormalized MAE 112.0286 | val unnormalized MSE 31225.8370
