Epoch:   1%|          | 1/100 [00:05<08:55,  5.41s/epoch]Epoch 000 | Learning rate 0.001000 | train normalized MSE   4.0937 | val normalized MSE   1.4773, | val unnormalized MAE   3.4265 | val unnormalized MSE  36.9317
Epoch:   2%|▏         | 2/100 [00:09<07:49,  4.79s/epoch]Epoch 001 | Learning rate 0.001000 | train normalized MSE   1.0004 | val normalized MSE   0.8170, | val unnormalized MAE   2.3682 | val unnormalized MSE  20.4262
Epoch:   3%|▎         | 3/100 [00:13<07:18,  4.52s/epoch]Epoch 002 | Learning rate 0.001000 | train normalized MSE   0.8009 | val normalized MSE   0.8142, | val unnormalized MAE   2.4157 | val unnormalized MSE  20.3549
Epoch:   4%|▍         | 4/100 [00:18<07:18,  4.57s/epoch]Epoch 003 | Learning rate 0.001000 | train normalized MSE   0.7271 | val normalized MSE   0.6523, | val unnormalized MAE   2.1465 | val unnormalized MSE  16.3082
Epoch:   5%|▌         | 5/100 [00:22<06:54,  4.37s/epoch]Epoch 004 | Learning rate 0.001000 | train normalized MSE   0.6753 | val normalized MSE   0.6661, | val unnormalized MAE   2.0966 | val unnormalized MSE  16.6537
Epoch:   6%|▌         | 6/100 [00:26<06:35,  4.21s/epoch]Epoch 005 | Learning rate 0.001000 | train normalized MSE   0.6249 | val normalized MSE   0.5905, | val unnormalized MAE   2.1141 | val unnormalized MSE  14.7635
Epoch:   7%|▋         | 7/100 [00:30<06:20,  4.09s/epoch]Epoch 006 | Learning rate 0.001000 | train normalized MSE   0.5946 | val normalized MSE   0.5839, | val unnormalized MAE   1.8623 | val unnormalized MSE  14.5978
Epoch:   8%|▊         | 8/100 [00:34<06:07,  3.99s/epoch]Epoch 007 | Learning rate 0.001000 | train normalized MSE   0.5702 | val normalized MSE   0.5503, | val unnormalized MAE   1.8578 | val unnormalized MSE  13.7583
Epoch:   9%|▉         | 9/100 [00:38<06:04,  4.00s/epoch]Epoch 008 | Learning rate 0.001000 | train normalized MSE   0.5491 | val normalized MSE   0.5158, | val unnormalized MAE   1.7614 | val unnormalized MSE  12.8948
Epoch:  10%|█         | 10/100 [00:42<06:05,  4.07s/epoch]Epoch 009 | Learning rate 0.001000 | train normalized MSE   0.5205 | val normalized MSE   0.5133, | val unnormalized MAE   1.8279 | val unnormalized MSE  12.8334
Epoch:  11%|█         | 11/100 [00:46<06:10,  4.16s/epoch]Epoch 010 | Learning rate 0.001000 | train normalized MSE   0.5137 | val normalized MSE   0.4996, | val unnormalized MAE   1.9102 | val unnormalized MSE  12.4901
Epoch:  12%|█▏        | 12/100 [00:50<06:07,  4.18s/epoch]Epoch 011 | Learning rate 0.001000 | train normalized MSE   0.4960 | val normalized MSE   0.4467, | val unnormalized MAE   1.7077 | val unnormalized MSE  11.1663
