Epoch:   1%|          | 1/100 [00:28<47:30, 28.79s/epoch]Epoch 000 | Learning rate 0.001000 | train normalized MSE   3.5416 | val normalized MSE   1.2108, | val unnormalized MAE   3.3539 | val unnormalized MSE  30.2694
Epoch:   2%|▏         | 2/100 [00:59<48:24, 29.63s/epoch]Epoch 001 | Learning rate 0.001000 | train normalized MSE   0.8907 | val normalized MSE   0.8217, | val unnormalized MAE   2.5884 | val unnormalized MSE  20.5415
Epoch:   3%|▎         | 3/100 [01:27<47:09, 29.16s/epoch]Epoch 002 | Learning rate 0.001000 | train normalized MSE   0.6811 | val normalized MSE   0.8545, | val unnormalized MAE   2.6081 | val unnormalized MSE  21.3620
Epoch:   4%|▍         | 4/100 [01:56<46:20, 28.96s/epoch]Epoch 003 | Learning rate 0.001000 | train normalized MSE   0.6231 | val normalized MSE   0.6861, | val unnormalized MAE   2.2874 | val unnormalized MSE  17.1524
Epoch:   5%|▌         | 5/100 [02:24<45:38, 28.83s/epoch]Epoch 004 | Learning rate 0.001000 | train normalized MSE   0.5608 | val normalized MSE   0.6076, | val unnormalized MAE   2.1683 | val unnormalized MSE  15.1891
Epoch:   6%|▌         | 6/100 [02:53<44:57, 28.69s/epoch]Epoch 005 | Learning rate 0.001000 | train normalized MSE   0.5490 | val normalized MSE   0.5382, | val unnormalized MAE   1.9095 | val unnormalized MSE  13.4541
Epoch:   7%|▋         | 7/100 [03:21<44:20, 28.61s/epoch]Epoch 006 | Learning rate 0.001000 | train normalized MSE   0.5319 | val normalized MSE   0.5479, | val unnormalized MAE   1.9150 | val unnormalized MSE  13.6974
Epoch:   8%|▊         | 8/100 [03:51<44:12, 28.83s/epoch]Epoch 007 | Learning rate 0.001000 | train normalized MSE   0.4987 | val normalized MSE   0.4796, | val unnormalized MAE   1.8106 | val unnormalized MSE  11.9907
Epoch:   9%|▉         | 9/100 [04:20<43:55, 28.96s/epoch]Epoch 008 | Learning rate 0.001000 | train normalized MSE   0.4690 | val normalized MSE   0.4992, | val unnormalized MAE   1.8342 | val unnormalized MSE  12.4804
Epoch:  10%|█         | 10/100 [04:48<42:53, 28.60s/epoch]Epoch 009 | Learning rate 0.001000 | train normalized MSE   0.4700 | val normalized MSE   0.4884, | val unnormalized MAE   1.8669 | val unnormalized MSE  12.2109
Epoch:  11%|█         | 11/100 [05:16<42:08, 28.41s/epoch]Epoch 010 | Learning rate 0.001000 | train normalized MSE   0.4602 | val normalized MSE   0.4436, | val unnormalized MAE   1.7105 | val unnormalized MSE  11.0892
Epoch:  12%|█▏        | 12/100 [05:45<42:01, 28.65s/epoch]Epoch 011 | Learning rate 0.001000 | train normalized MSE   0.4496 | val normalized MSE   0.5370, | val unnormalized MAE   2.0258 | val unnormalized MSE  13.4261
Epoch:  13%|█▎        | 13/100 [06:13<41:19, 28.50s/epoch]Epoch 012 | Learning rate 0.001000 | train normalized MSE   0.4465 | val normalized MSE   0.4372, | val unnormalized MAE   1.7355 | val unnormalized MSE  10.9288
Epoch:  14%|█▍        | 14/100 [06:41<40:37, 28.34s/epoch]Epoch 013 | Learning rate 0.001000 | train normalized MSE   0.4298 | val normalized MSE   0.4379, | val unnormalized MAE   1.7233 | val unnormalized MSE  10.9471
Epoch:  15%|█▌        | 15/100 [07:09<40:13, 28.39s/epoch]Epoch 014 | Learning rate 0.001000 | train normalized MSE   0.4220 | val normalized MSE   0.4373, | val unnormalized MAE   1.6604 | val unnormalized MSE  10.9326
Epoch:  16%|█▌        | 16/100 [07:38<39:50, 28.45s/epoch]Epoch 015 | Learning rate 0.001000 | train normalized MSE   0.4068 | val normalized MSE   0.4946, | val unnormalized MAE   1.8691 | val unnormalized MSE  12.3642
