Epoch:   0%|          | 1/200 [00:27<1:30:21, 27.24s/epoch]Epoch 000 | Learning rate 0.001000 | train normalized MSE   3.5416 | val normalized MSE   1.2108, | val MAE   3.3539 | val MSE  30.2694
Epoch:   1%|          | 2/200 [00:53<1:27:16, 26.44s/epoch]Epoch 001 | Learning rate 0.001000 | train normalized MSE   0.8907 | val normalized MSE   0.8217, | val MAE   2.5884 | val MSE  20.5415
Epoch:   2%|▏         | 3/200 [01:19<1:26:45, 26.43s/epoch]Epoch 002 | Learning rate 0.001000 | train normalized MSE   0.6811 | val normalized MSE   0.8545, | val MAE   2.6081 | val MSE  21.3620
Epoch:   2%|▏         | 4/200 [01:46<1:26:30, 26.48s/epoch]Epoch 003 | Learning rate 0.001000 | train normalized MSE   0.6231 | val normalized MSE   0.6861, | val MAE   2.2874 | val MSE  17.1524
Epoch:   2%|▎         | 5/200 [02:13<1:26:36, 26.65s/epoch]Epoch 004 | Learning rate 0.001000 | train normalized MSE   0.5608 | val normalized MSE   0.6076, | val MAE   2.1683 | val MSE  15.1891
Epoch:   3%|▎         | 6/200 [02:39<1:25:39, 26.49s/epoch]Epoch 005 | Learning rate 0.001000 | train normalized MSE   0.5490 | val normalized MSE   0.5382, | val MAE   1.9095 | val MSE  13.4541
Epoch:   4%|▎         | 7/200 [03:05<1:25:00, 26.43s/epoch]Epoch 006 | Learning rate 0.001000 | train normalized MSE   0.5319 | val normalized MSE   0.5479, | val MAE   1.9150 | val MSE  13.6974
Epoch:   4%|▍         | 8/200 [03:31<1:23:46, 26.18s/epoch]Epoch 007 | Learning rate 0.001000 | train normalized MSE   0.4987 | val normalized MSE   0.4796, | val MAE   1.8106 | val MSE  11.9907
Epoch:   4%|▍         | 9/200 [03:57<1:23:12, 26.14s/epoch]Epoch 008 | Learning rate 0.001000 | train normalized MSE   0.4690 | val normalized MSE   0.4992, | val MAE   1.8342 | val MSE  12.4804
Epoch:   5%|▌         | 10/200 [04:23<1:22:55, 26.19s/epoch]Epoch 009 | Learning rate 0.001000 | train normalized MSE   0.4700 | val normalized MSE   0.4884, | val MAE   1.8669 | val MSE  12.2109
Epoch:   6%|▌         | 11/200 [04:49<1:22:15, 26.12s/epoch]Epoch 010 | Learning rate 0.001000 | train normalized MSE   0.4602 | val normalized MSE   0.4436, | val MAE   1.7105 | val MSE  11.0892
Epoch:   6%|▌         | 12/200 [05:15<1:21:40, 26.07s/epoch]Epoch 011 | Learning rate 0.001000 | train normalized MSE   0.4496 | val normalized MSE   0.5370, | val MAE   2.0258 | val MSE  13.4261
