Epoch:   0%|          | 1/200 [00:27<1:31:43, 27.66s/epoch]Epoch 000 | Learning rate 0.001000 | train normalized MSE   4.2673 | val normalized MSE   1.4547, | val MAE   3.4004 | val MSE  36.3674
Epoch:   1%|          | 2/200 [00:55<1:31:04, 27.60s/epoch]Epoch 001 | Learning rate 0.001000 | train normalized MSE   1.0608 | val normalized MSE   0.7906, | val MAE   2.4290 | val MSE  19.7660
Epoch:   2%|▏         | 3/200 [01:22<1:29:45, 27.34s/epoch]Epoch 002 | Learning rate 0.001000 | train normalized MSE   0.7925 | val normalized MSE   0.8442, | val MAE   2.6538 | val MSE  21.1057
Epoch:   2%|▏         | 4/200 [01:49<1:29:20, 27.35s/epoch]Epoch 003 | Learning rate 0.001000 | train normalized MSE   0.7270 | val normalized MSE   0.7334, | val MAE   2.3156 | val MSE  18.3351
Epoch:   2%|▎         | 5/200 [02:17<1:29:15, 27.47s/epoch]Epoch 004 | Learning rate 0.001000 | train normalized MSE   0.6365 | val normalized MSE   0.5995, | val MAE   2.0814 | val MSE  14.9866
Epoch:   3%|▎         | 6/200 [02:44<1:28:23, 27.34s/epoch]Epoch 005 | Learning rate 0.001000 | train normalized MSE   0.6062 | val normalized MSE   0.5870, | val MAE   2.0298 | val MSE  14.6757
Epoch:   4%|▎         | 7/200 [03:12<1:28:16, 27.44s/epoch]Epoch 006 | Learning rate 0.001000 | train normalized MSE   0.5522 | val normalized MSE   0.5486, | val MAE   1.9346 | val MSE  13.7162
Epoch:   4%|▍         | 8/200 [03:39<1:27:23, 27.31s/epoch]Epoch 007 | Learning rate 0.001000 | train normalized MSE   0.5472 | val normalized MSE   0.5142, | val MAE   1.8991 | val MSE  12.8544
Epoch:   4%|▍         | 9/200 [04:06<1:26:40, 27.23s/epoch]Epoch 008 | Learning rate 0.001000 | train normalized MSE   0.5114 | val normalized MSE   0.4958, | val MAE   1.7771 | val MSE  12.3958
Epoch:   5%|▌         | 10/200 [04:33<1:26:35, 27.35s/epoch]Epoch 009 | Learning rate 0.001000 | train normalized MSE   0.4926 | val normalized MSE   0.4778, | val MAE   1.7865 | val MSE  11.9462
Epoch:   6%|▌         | 11/200 [05:00<1:25:23, 27.11s/epoch]Epoch 010 | Learning rate 0.001000 | train normalized MSE   0.4993 | val normalized MSE   0.5587, | val MAE   1.9569 | val MSE  13.9684
Epoch:   6%|▌         | 12/200 [05:26<1:23:59, 26.81s/epoch]Epoch 011 | Learning rate 0.001000 | train normalized MSE   0.4898 | val normalized MSE   0.4797, | val MAE   1.8012 | val MSE  11.9925
Epoch:   6%|▋         | 13/200 [05:52<1:22:50, 26.58s/epoch]Epoch 012 | Learning rate 0.001000 | train normalized MSE   0.4754 | val normalized MSE   0.4717, | val MAE   1.7747 | val MSE  11.7919
Epoch:   7%|▋         | 14/200 [06:18<1:22:13, 26.52s/epoch]Epoch 013 | Learning rate 0.001000 | train normalized MSE   0.4556 | val normalized MSE   0.4508, | val MAE   1.6528 | val MSE  11.2702
Epoch:   8%|▊         | 15/200 [06:44<1:21:21, 26.39s/epoch]Epoch 014 | Learning rate 0.001000 | train normalized MSE   0.4509 | val normalized MSE   0.4650, | val MAE   1.7558 | val MSE  11.6243
Epoch:   8%|▊         | 16/200 [07:11<1:20:40, 26.31s/epoch]Epoch 015 | Learning rate 0.001000 | train normalized MSE   0.4437 | val normalized MSE   0.4189, | val MAE   1.5812 | val MSE  10.4736
Epoch:   8%|▊         | 17/200 [07:37<1:20:13, 26.30s/epoch]Epoch 016 | Learning rate 0.001000 | train normalized MSE   0.4377 | val normalized MSE   0.4562, | val MAE   1.7181 | val MSE  11.4048
Epoch:   9%|▉         | 18/200 [08:03<1:19:25, 26.19s/epoch]Epoch 017 | Learning rate 0.001000 | train normalized MSE   0.4313 | val normalized MSE   0.4375, | val MAE   1.6285 | val MSE  10.9364
Epoch:  10%|▉         | 19/200 [08:29<1:19:06, 26.22s/epoch]Epoch 018 | Learning rate 0.001000 | train normalized MSE   0.4337 | val normalized MSE   0.4181, | val MAE   1.6789 | val MSE  10.4514
Epoch:  10%|█         | 20/200 [08:55<1:18:32, 26.18s/epoch]Epoch 019 | Learning rate 0.001000 | train normalized MSE   0.4258 | val normalized MSE   0.4250, | val MAE   1.6872 | val MSE  10.6253
Epoch:  10%|█         | 21/200 [09:21<1:17:58, 26.14s/epoch]Epoch 020 | Learning rate 0.001000 | train normalized MSE   0.4294 | val normalized MSE   0.4090, | val MAE   1.6210 | val MSE  10.2257
Epoch:  11%|█         | 22/200 [09:47<1:17:32, 26.14s/epoch]Epoch 021 | Learning rate 0.001000 | train normalized MSE   0.4121 | val normalized MSE   0.4331, | val MAE   1.6855 | val MSE  10.8270
Epoch:  12%|█▏        | 23/200 [10:13<1:17:08, 26.15s/epoch]Epoch 022 | Learning rate 0.001000 | train normalized MSE   0.4020 | val normalized MSE   0.4141, | val MAE   1.6542 | val MSE  10.3516
Epoch:  12%|█▏        | 24/200 [10:40<1:17:02, 26.26s/epoch]Epoch 023 | Learning rate 0.001000 | train normalized MSE   0.3974 | val normalized MSE   0.4134, | val MAE   1.6324 | val MSE  10.3343
Epoch:  12%|█▎        | 25/200 [11:07<1:17:07, 26.44s/epoch]Epoch 024 | Learning rate 0.001000 | train normalized MSE   0.4025 | val normalized MSE   0.4314, | val MAE   1.7121 | val MSE  10.7851
Epoch:  13%|█▎        | 26/200 [11:33<1:16:30, 26.38s/epoch]Epoch 025 | Learning rate 0.001000 | train normalized MSE   0.4016 | val normalized MSE   0.3966, | val MAE   1.5690 | val MSE   9.9158
Epoch:  14%|█▎        | 27/200 [12:00<1:16:31, 26.54s/epoch]Epoch 026 | Learning rate 0.001000 | train normalized MSE   0.3934 | val normalized MSE   0.4291, | val MAE   1.6609 | val MSE  10.7274
Epoch:  14%|█▍        | 28/200 [12:26<1:15:54, 26.48s/epoch]Epoch 027 | Learning rate 0.001000 | train normalized MSE   0.3900 | val normalized MSE   0.3895, | val MAE   1.5445 | val MSE   9.7386
Epoch:  14%|█▍        | 29/200 [12:52<1:14:54, 26.28s/epoch]Epoch 028 | Learning rate 0.001000 | train normalized MSE   0.3848 | val normalized MSE   0.4098, | val MAE   1.6226 | val MSE  10.2454
Epoch:  15%|█▌        | 30/200 [13:18<1:14:22, 26.25s/epoch]Epoch 029 | Learning rate 0.001000 | train normalized MSE   0.3767 | val normalized MSE   0.4124, | val MAE   1.6390 | val MSE  10.3092
Epoch:  16%|█▌        | 31/200 [13:44<1:13:48, 26.21s/epoch]Epoch 030 | Learning rate 0.001000 | train normalized MSE   0.3872 | val normalized MSE   0.3997, | val MAE   1.6402 | val MSE   9.9933
Epoch:  16%|█▌        | 32/200 [14:11<1:13:26, 26.23s/epoch]Epoch 031 | Learning rate 0.001000 | train normalized MSE   0.3746 | val normalized MSE   0.4212, | val MAE   1.6398 | val MSE  10.5295
Epoch:  16%|█▋        | 33/200 [14:37<1:12:55, 26.20s/epoch]Epoch 032 | Learning rate 0.001000 | train normalized MSE   0.3700 | val normalized MSE   0.3983, | val MAE   1.6265 | val MSE   9.9571
Epoch:  17%|█▋        | 34/200 [15:03<1:12:42, 26.28s/epoch]Epoch 033 | Learning rate 0.001000 | train normalized MSE   0.3684 | val normalized MSE   0.3829, | val MAE   1.5914 | val MSE   9.5729
Epoch:  18%|█▊        | 35/200 [15:29<1:12:08, 26.23s/epoch]Epoch 034 | Learning rate 0.001000 | train normalized MSE   0.3569 | val normalized MSE   0.3748, | val MAE   1.5475 | val MSE   9.3705
